ID,IC50
1,2.237884137254902
5,2.9468637500000003
11,2.520727142857143
15,1.5246042499999999
19,3.2572715
32,2.1806442857142856
46,2.32736315625
52,2.2421985555555555
75,2.4342975113636367
82,2.4342975113636367
84,2.4342975113636367
86,3.3612436666666667
90,2.7970504791666664
108,2.390030018018017
116,2.32736315625
122,2.121491148148148
126,2.4862119999999996
130,2.561402105263158
133,1.9404895454545454
141,2.4862119999999996
149,2.121491148148148
158,2.9581515
167,3.181743
170,2.193577218604651
171,2.7349327600000004
177,2.7749647000000004
206,2.4626574444444445
221,2.32736315625
224,2.6330434
225,2.32736315625
228,3.2141582499999997
240,2.88697425
250,2.54356955
258,2.169033019762846
273,2.32736315625
282,3.8337814999999997
291,3.442732142857143
299,2.1806442857142856
303,2.800244
307,2.32736315625
311,2.7970504791666664
313,2.7970504791666664
315,2.32736315625
324,2.2642648214285717
327,3.694004111111111
335,1.480079
336,2.561402105263158
352,2.32736315625
357,2.946796947368421
363,3.41755
376,2.237884137254902
380,2.2279048139534883
382,2.3004166666666666
383,2.4055489729729733
389,1.9404895454545454
390,2.32736315625
392,1.4291213333333335
399,1.546153
411,1.9404895454545454
419,3.791648533333333
439,3.005933210526316
451,2.2655016153846153
454,2.32736315625
465,2.2952763333333333
467,2.7970504791666664
468,2.1351338739130434
477,2.237884137254902
480,2.7970504791666664
488,2.121491148148148
492,2.32736315625
497,2.32736315625
502,3.3660085000000004
505,3.259217
506,1.3591718571428575
509,1.9404895454545454
515,2.121491148148148
517,-0.7278384285714287
537,0.6850126
543,2.32736315625
551,2.4862119999999996
559,2.4012927142857143
565,2.32736315625
566,2.121491148148148
576,3.6253869375
577,1.8093396666666666
585,2.7970504791666664
590,2.4342975113636367
591,2.2812219765624997
593,2.2279048139534883
594,2.237884137254902
595,2.237884137254902
598,-0.2675994736842105
599,2.4862119999999996
605,2.617779
608,3.5047073333333336
615,2.237884137254902
621,2.575306
629,2.18054975
635,2.32736315625
638,2.32736315625
